COMM,Source,Destination,TotValue
pdr,aus,aus,201.4188083
wht,aus,aus,656.4498056
gro,aus,aus,802.9126118
osd,aus,aus,1128.716144
pdr,nzl,aus,3.13E-05
wht,nzl,aus,0.063428193
gro,nzl,aus,0.758975089
osd,nzl,aus,2.104497671
pdr,xoc,aus,5.53E-05
wht,xoc,aus,0.003744758
gro,xoc,aus,0.011481912
osd,xoc,aus,0.359980583
pdr,chn,aus,0.120973758
wht,chn,aus,0.034409959
gro,chn,aus,1.18583858
osd,chn,aus,21.06062126
pdr,hkg,aus,1.85E-05
wht,hkg,aus,0.000475274
gro,hkg,aus,0.000245774
osd,hkg,aus,9.83E-06
pdr,jpn,aus,8.28E-05
wht,jpn,aus,0.00067673
gro,jpn,aus,0.000455798
osd,jpn,aus,0.310464829
pdr,kor,aus,5.80E-05
wht,kor,aus,0.000542424
gro,kor,aus,0.016739335
osd,kor,aus,0.018554762
pdr,mng,aus,1.58E-08
wht,mng,aus,2.27E-06
gro,mng,aus,1.03E-06
osd,mng,aus,9.76E-09
pdr,twn,aus,3.99E-06
wht,twn,aus,0.000200417
gro,twn,aus,0.003403011
osd,twn,aus,0.060928017
pdr,xea,aus,4.48E-06
wht,xea,aus,0.000148954
gro,xea,aus,7.45E-05
osd,xea,aus,2.41E-06
pdr,brn,aus,1.07E-06
wht,brn,aus,5.67E-06
gro,brn,aus,2.71E-06
osd,brn,aus,1.05E-06
pdr,khm,aus,0.010908817
wht,khm,aus,0.000110466
gro,khm,aus,0.002065597
osd,khm,aus,0.007542259
pdr,idn,aus,0.003961767
wht,idn,aus,0.004915989
gro,idn,aus,0.313779265
osd,idn,aus,0.317588001
pdr,lao,aus,2.61E-06
wht,lao,aus,3.86E-09
gro,lao,aus,6.25E-07
osd,lao,aus,1.85E-08
pdr,mys,aus,2.55E-05
wht,mys,aus,0.000260425
gro,mys,aus,0.00388057
osd,mys,aus,0.012446208
pdr,phl,aus,0.000184987
wht,phl,aus,1.51E-05
gro,phl,aus,0.000124342
osd,phl,aus,0.004789079
pdr,sgp,aus,3.15E-05
wht,sgp,aus,0.001674789
gro,sgp,aus,0.000848494
osd,sgp,aus,0.000120321
pdr,tha,aus,7.71E-05
wht,tha,aus,0.000550885
gro,tha,aus,0.0400545
osd,tha,aus,0.08091037
pdr,vnm,aus,0.011708558
wht,vnm,aus,0.000611029
gro,vnm,aus,0.023634287
osd,vnm,aus,0.05119307
pdr,xse,aus,0.004892699
wht,xse,aus,4.95E-05
gro,xse,aus,0.000926438
osd,xse,aus,0.009637767
pdr,afg,aus,4.67E-06
wht,afg,aus,0.006102565
gro,afg,aus,0.002125779
osd,afg,aus,8.29E-06
pdr,bgd,aus,4.77E-10
wht,bgd,aus,3.96E-08
gro,bgd,aus,9.49E-08
osd,bgd,aus,2.20E-07
pdr,ind,aus,0.172138244
wht,ind,aus,0.122571766
gro,ind,aus,0.160746098
osd,ind,aus,8.487735748
pdr,npl,aus,4.85E-06
wht,npl,aus,4.44E-06
gro,npl,aus,6.38E-06
osd,npl,aus,0.00821787
pdr,pak,aus,1.69E-06
wht,pak,aus,2.71E-05
gro,pak,aus,1.24E-05
osd,pak,aus,0.030179841
pdr,lka,aus,0.011447037
wht,lka,aus,4.16E-09
gro,lka,aus,1.63E-08
osd,lka,aus,6.51E-07
pdr,xsa,aus,3.37E-05
wht,xsa,aus,0.000193093
gro,xsa,aus,6.08E-05
osd,xsa,aus,0.000147859
pdr,can,aus,2.68E-05
